qstr_Next_Page|Next Page
qstr__You_come_across_a_m| You come across a monk on a pilgrimage who tells you that a powerful demonic warrior called Eyegrim the Devourer is invading Pendor with an army of undead!
qstr__Word_reaches_you_that_a| Word reaches you that a mysterious trio of witches roams the countryside with an army of followers!
qstr__You_receive_word_fr| You receive word from a traveler that Heretics have managed to summon demonic warriors and have raised an army!
qstr_Inquisition_Patrol|Inquisition Patrol
qstr_Interrogation_Band|Interrogation Band
qstr_Inquisition_Missiona|Inquisition Missionaries
qstr_Inquisition_Devoted|Inquisition Devoted
qstr_Inquisition_Heathen_|Inquisition Heathen Hunters
qstr_Inquisition_Crusader|Inquisition Crusaders
qstr_Zealot_Purgers|Zealot Purgers
qstr_Inquisition_Holy_Gua|Inquisition Holy Guard
qstr_Heresy_Hunters|Heresy Hunters
qstr_Inquisition_Heretic_|Inquisition Heretic Hunters
qstr__Word_reaches_you_that_H| Word reaches you that Holy Inquisitor Rasmus Devatica has assembled an army to hunt heretic and spread his religious might to the uncivilized D'Shar tribes.
qstr__A_wandering_traveler_| A wandering traveler tells you that The Holy Inquisition has assembled an army and started a crusade against the D'Shar tribes.
qstr__Word_reaches_you_that_Buri| Word reaches you that Burilgi the Usurper has gathered an army near Torbah!
qstr__Word_reaches_you_that_Osw| Word reaches you that Oswald de Fleur has assembled all of his Adventuring Companies to form a single army!
qstr__Word_reaches_you_that_Bor| Word reaches you that Boris the Raven has gathered a company of Raven Spear Knights!
qstr__Word_reaches_you_Me| Word reaches you Meregan Kierlic has brought together the Griffonsword Adventuring Company!
qstr__Word_reaches_you_that_t| Word reaches you that there is free ale, fine entertainment and a troublemaker called Alaric Von Brouhaha marching a small army of deserters in a state of drunken revelry around Sarleon!
qstr__Word_reaches_you_that_Koda| Word reaches you that Kodan Ironsword has gathered nobles and knights to challenge any who cross his path!
qstr__Word_reaches_you_that_Sh| Word reaches you that Sheik Shalavan has united the Desert warriors to challenge the city dwellers in the D'Shar Steppes.
qstr__Word_reaches_you_Syla| Word reaches you Syla Uzas, a renowned Immortal warrior of the Empire, has gathered together a small army of veteran Legionnaires and are inciting rebellion near Janos.
qstr__You_come_across_a_mo| You come across a monk on a pilgrimage who tells you that a Champion Jarl of Vanskerry has landed an army on the Western coast!
qstr__You_overhear_two_yo| You overhear two young farmers talking about a Heroic Adventurer who is leading a peasant revolt!
qstr__You_have_the_feelin| You have the feeling that someone or something is watching you.  Your spotting skill has increased by 1.
qstr__You_suddenly_realiz| You suddenly realize that there is utter silence surrounding you.  The lack of sound seems deafening.  Your leadership skill has been increased by 1.
qstr__Suddenly_you_feel_u| Suddenly you feel unusually alert and the hairs on the back of your neck stand on end!  Your training skill has been increased by 1.
qstr__As_if_in_a_daze_you| As if in a daze, you look around you with a sense of deja-vu, recalling a dream you once had of conversing with a woman who had long dark hair and almond eyes.  The conversation was important, but try as you will, you cannot remember what was said.  Your tactics skill has been increased by 1.
qstr__There_is_a_strangel| There is a strangely hypnotic melody playing in your mind.  You cannot put your finger on where or when you heard it before, but it keeps playing over and over again and you can't get it out of your head.  You have a feeling that if you could recall who had played it, the significance of the tune would be important.  Your Engineering skill has been increased by 1.
qstr__You_were_idly_watch| You were idly watching cloud formations in the sky as you did when you were a child, seeing shapes and faces within the clouds.  One form seemed to be that of a fleet horse archer racing across the sky.  Suddenly, an arrow drives into the ground before you, seemingly shot from the archer in the sky.  Your horse archery skill has been increased by 1.
qstr__In_the_sound_of_a_g| In the sound of a gusting wind you hear voices but cannot make out what they are saying.  You strain to listen, but the voices fade away.  You know they were trying to tell you something, but could not make out the message.  Your prisoner management skill has been increased by 1.
qstr__As_you_travel_you_s| As you travel, you strain your eyes towards the distant horizon.  Something is there; you can just make out far off movement but cannot see clearly.  A misty form flashes briefly in front of the trees and is gone.  Your weapons master skill has been increased by 1.
qstr__Last_night_you_drea| Last night you dreamed that you were riding a horse swifter than the wind, which never tired, though you rode for an eternity.  You bent over his neck and his mane blew against your face.  You recall the dream perfectly and wonder what it might portend.  Your riding skill has been increased by 1.
qstr__Carried_by_the_wind| Carried by the wind, the sound of a cheerful tune played upon a Noldor flute reaches your ears, but there is no one visible.  You know that if you could just find the musician, you would be enthralled utterly by the music.  As you look about, the music ends.  Your first aid skill has been increased by 1.
qstr__A_chill_runs_down_y| A chill runs down your spine and you shiver.  Someone must be walking over your future grave.  Your athletics skill has been increasd by 1.
qstr__You_have_the_oddest| You have the oddest feeling that something ghostly is behind you and keep looking over your shoulder.  All you see is the men who follow you.  A chill hand brushes your cheek.  Your inventory management skill has been increased by 1.
qstr__As_you_travel_somet| As you travel, something flashes in the grass.  You pick it up and see it is a curiously curved dagger of obviously ancient provenance. Your surgery skill has been increased by 1.
qstr_You_overhear_talk_of|You overhear talk of death cult marauders ravaging the land in the name of Azi Dahaka!
qstr_Questing_Lords|Questing Lords
qstr_Errant_Knights|Errant Knights
qstr_Patrolling_Knights|Patrolling Knights
qstr_Errant_Lords|Errant Lords
qstr_Secular_Knights|Secular Knights
qstr_Knight_Company|Knight Company
qstr_Order_Knights|Order Knights
qstr_Knight_Adventurers|Knight Adventurers
qstr_Questing_Honour_Knig|Questing Honour Knights
qstr_Loyal_Knights|Loyal Knights
qstr_Questing_Knights|Questing Knights
qstr_Lost_Knight_Patrol|Lost Knight Patrol
qstr_Clandestine_Patrol|Clandestine Patrol
qstr_Jatu_Black_Hand_Trib|Jatu Black Hand Tribesmen
qstr_Jatu_Thunder_Tribe_W|Jatu Thunder Tribe Warriors
qstr_Jatu_Horsemen|Jatu Horsemen
qstr_Jatu_Raiding_Party|Jatu Raiding Party
qstr__A_traveling_peddler| A traveling peddler hails you and tells you the news that the Jatu tribes have united and formed a mighty army!
qstr__A_traveling_peddler_| A traveling peddler hails you and tells you the news that the Jatu tribes have united under K'Juda the Ravager!
qstr__A_traveling_peddler_h| A traveling peddler hails you and tells you the news that the Jatu tribes have united under Warlord Zulkar!
qstr_Mystmountain_Raiders|Mystmountain Raiders
qstr_Blackroot_Clan_Warri|Blackroot Clan Warriors
qstr_Blood_Valley_Clan_Ra|Blood Valley Clan Raiders
qstr_Snow_Wolf_Clan_Warri|Snow Wolf Clan Warriors
qstr_Bear_Tooth_Clan_Raid|Bear Tooth Clan Raiders
qstr_A_farmer_hails_you_a|A farmer hails you and tells you the news that the Mystmountain tribes have united under a mighty hero and are invading Pendor!
qstr_A_farmer_hails_you_an|A farmer hails you and tells you the news that the Mystmountain tribes have united under Wolfbode the Slayer and are invading Pendor!
qstr_Jarl_Haggar_Three_Fi|Jarl Haggar Three Finger's Vanskerry Raiders
qstr_Jarl_Hrolf_Ironbreek|Jarl Hrolf Ironbreeks Raiders
qstr_Jarl_Ivan_the_Bersar|Jarl Ivan the Bersark's Blood Raiders
qstr_Jarl_Thon_Redsword_s|Jarl Thon Redsword's Vanskerry Raiders
qstr_Jarl_Ragnar_the_Drag|Jarl Ragnar the Dragon's Berserkers
qstr_Jarl_Gunder_Goldtoot|Jarl Gunder Goldtooth's Grim Raiders
qstr_Queen_Agnus_One_eye_|Queen Agnus One-eye's She Devil Freebooters 
qstr_Vanskerry_Raiders|Vanskerry Raiders
qstr_Noldor_House_of_Aeld|Noldor House of Aeldarian Rangers
qstr_Noldor_House_of_Ithi|Noldor House of Ithilrandir Scouts
qstr_Noldor_House_of_Cael|Noldor House of Caelvanir Rangers
qstr_Noldor_House_of_Faer|Noldor House of Faergwethanir Warriors
qstr_Noldor_Rangers|Noldor Rangers
qstr_Noldor_Patrol|Noldor Patrol
qstr__You_receive_word_fro| You receive word from a traveler that the Noldor lord Aeldarian has gathered a large army and is attacking any humans who dare to enter the Woods of Laria!
qstr__You_receive_word_from| You receive word from a traveler that the Noldor lord Ithilrandir has gathered a large army and is driving the Jatu back into their steppes!
qstr_Sarleon|Sarleon
qstr_Eastern|Eastern
qstr_Ravenstern|Ravenstern
qstr_Northern|Northern
qstr_D_Shar|D'Shar
qstr_Foreign|Foreign
qstr_Fierdsvain|Fierdsvain
qstr_Western|Western
qstr_Baccus|Baccus
qstr_Southern|Southern
qstr_Red_Fletcher_Hunting|Red Fletcher Hunting Party
qstr_Order_of_the_Boar_Ou|Order of the Boar Outlaws
qstr_Outlaw_Order_of_the_|Outlaw Order of the Owl Knights
qstr_House_of_Morgan_Rene|House of Morgan Renegades
qstr_Outlaw_Merchant_Hous|Outlaw Merchant House of Felin
qstr_Outlaw_Melitine_Adve|Outlaw Melitine Adventurers
qstr_Deathwind_Renegades|Deathwind Renegades
qstr_Renegade_Omen_Seeker|Renegade Omen Seekers
qstr_Outlaw_Skyblade_Assa|Outlaw Skyblade Assassins
qstr_Disgraced_Zelshai_Re|Disgraced Zelshai Renegade Tribesmen
qstr_Outlaw_Barclay_Noble|Outlaw Barclay Nobles
qstr_Veccavian_Slavers|Veccavian Slavers
qstr_First_Blood_Hunting_|First Blood Hunting Party
qstr_Outlaw_Heretic_Svarg|Outlaw Heretic Svargeon Nobles
qstr_Outlaw_Iceguard_Rang|Outlaw Iceguard Rangers
qstr_Renegade_Ravenstern_|Renegade Ravenstern Halfbreed Knights
qstr_Outlaw_Knights_of_th|Outlaw Knights of the Falcon
qstr_Outlaw_Snow_Lion_Kni|Outlaw Snow Lion Knights
qstr_Renegades_of_House_B|Renegades of House Breathnach
qstr_Ebony_Knights_Huntin|Ebony Knights Hunting Cadre
qstr_House_Gnaeus_Outlaw_|House Gnaeus Outlaw Knights
qstr_Renegade_Centurions_|Renegade Centurions of the Iron Circle
qstr_Outlaw_Merchant_House|Outlaw Merchant House of Manius (depraved dog torturers)
qstr_Escaped_Gladiators|Escaped Gladiators
qstr_Red_Brotherhood_Elve|Red Brotherhood Elven Slave Caravan
qstr_Ebony_Gauntlet_Priso|Ebony Gauntlet Prisoner Train
qstr_Grave_Robber_Corpse_|Grave Robber Corpse Caravan
qstr_Outlawed_Adventure_C|Outlawed Adventure Company
qstr_Renegade_Adventure_C|Renegade Adventure Company
qstr_Treasure_Seekers|Treasure Seekers
qstr_Treasure_Hunters|Treasure Hunters
qstr_Adventure_Company|Adventure Company
qstr_Bounty_Hunter_Advent|Bounty Hunter Adventure Company
qstr__Word_reaches_you_a_| Word reaches you a large Outlaw warband has arrived from Barclay, laying waste to the countryside.
qstr__Word_reaches_you_Ob| Word reaches you Obrist Heynrich, a former Barclay Empire general from Mettenheim, has landed in Pendor at the head of a large army.
qstr__Word_reaches_you_Th| Word reaches you The Renegade Witch Hunt has arrived from Veccavia, hunting for a royal fugitive.
qstr__Word_reaches_you_Se| Word reaches you Sebastokrator Kaspax of the Melitine Empire have unexpectedly landed in Pendor at the head of a large army.
qstr_Singalian_Warband|Singalian Warband
qstr_Singalian_Temptress_|Singalian Temptress Patrol
qstr_Mountain_Outlaws|Mountain Outlaws
qstr_Mystmountain_Outcast|Mystmountain Outcasts
qstr_Renegade_Mountain_Me|Renegade Mountain Men
qstr_Mountain_Hermits|Mountain Hermits
qstr_Forest_Outlaws|Forest Outlaws
qstr_Brigands|Brigands
qstr_Robbers|Robbers
qstr_Desperate_Highwaymen|Desperate Highwaymen
qstr_Highwaymen|Highwaymen
qstr_Forest_Bandits|Forest Bandits
qstr_Forest_Robbers|Forest Robbers
qstr_Thieves|Thieves
qstr_D_Shar_Yusafzai_Raid|D'Shar Yusafzai Raiders
qstr_D_Shar_Afridi_Warrio|D'Shar Afridi Warriors
qstr_D_Shar_Turkmani_Ride|D'Shar Turkmani Riders
qstr_D_Shar_Pathani_Tribe|D'Shar Pathani Tribesmen Raiders
qstr_D_Shar_Pansjiri_Warr|D'Shar Pansjiri Warriors
qstr__Yusafzai_Omen_Seeke| Yusafzai Omen Seekers
qstr_Death_Seekers|Death Seekers
qstr_D_Shar_Pansjiri_Omen|D'Shar Pansjiri Omen Seekers
qstr_D_Shar_Raiders|D'Shar Raiders
qstr_Desperate_Outcasts|Desperate Outcasts
qstr_Foraging_Looters|Foraging Looters
qstr_Hungry_Bandits|Hungry Bandits
qstr_Desperate_Dirt_Bandi|Desperate Dirt Bandits
qstr_Angry_Outcasts|Angry Outcasts
qstr_Desperate_Refugees|Desperate Refugees
qstr_Rabble|Rabble
qstr_Hungry_Refugees|Hungry Refugees
qstr_Angry_Peasants|Angry Peasants
qstr_Red_Brotherhood_Hunt|Red Brotherhood Hunters
qstr_Barclay_Assassins|Barclay Assassins
qstr_Murdering_Outlaw|Murdering Outlaw
qstr_Murdering_Arsonist|Murdering Arsonist
qstr_Murdering_Barclay_No|Murdering Barclay Nobleman
qstr_Hired_Hunters|Hired Hunters
qstr_Hired_Sky_Blade_Assa|Hired Sky Blade Assassins
qstr_Hired_Assassins|Hired Assassins
qstr_Red_Brotherhood_Kill|Red Brotherhood Killers
qstr_Mine|Mine
qstr_A_mine_creates_direc|A mine creates direct income based upon the mineral value found during prospecting and increases prosperity by 5.
qstr_Prospecting|Prospecting
qstr_Hires_and_sends_out_|Hires and sends out a group of prospectors to find minerals and stone around the location.
qstr_Herbalist|Herbalist
qstr_A_herbalist_helps_th|A herbalist helps the health of your community, increasing the prosperity by 10 and relations by 5.
qstr_Market|Market
qstr_A_market_increases_b|A market increases base income by 50 and prosperity by 50.
qstr_Skilled_Craftsmen|Skilled Craftsmen
qstr_Skilled_Craftsmen_in|Skilled Craftsmen increases village prosperity by 20 and increases base income by 100. They also allow for independent weekly building repairs.
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor lets you rest at the village, increases prosperity by 10 and increases base income by 10.
qstr_Fish_Pond|Fish Pond
qstr_A_fish_pond_increase|A fish pond increases base income by 10 and village prosperity by 10.
qstr_School|School
qstr_A_school_increases_t|A school increases the loyalty of the villagers to you by +1 every week.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise the alarm earlier. The time it takes for enemies to loot the village increases by 25. It also improves relations by 5.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away. It also improves relations by 5.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of held captives successfully escaping.
qstr_Winery|Winery
qstr_A_Winery_increases_b|A Winery increases base income by 50, prosperity by 10 and relations by 3.
qstr_Hunting_Lodge|Hunting Lodge
qstr_A_Hunting_Lodge_send|A Hunting Lodge sends out hunting parties that increase income by 5 and prosperity by 10.
qstr_Foresters|Foresters
qstr_Foresters_organize_t|Foresters organize the gathering of resources and lumber that increase income by 5 and prosperity by 5.
qstr_Sheriff|Sheriff
qstr_This_keeper_of_order|This keeper of order and the law improves prosperity by 10, relations by 5, influences bandit spawns in the area and sends out militia patrols.
qstr_Shrine|Shrine
qstr_A_shrine_increases_t|A shrine increases the prosperity of the location by 5 and relations by 5. It will also attract pious nobles to your cause.
qstr_Blacksmith|Blacksmith
qstr_A_blacksmith_increas|A blacksmith increases income by 5 and the prosperity by 5.
qstr_Hospital|Hospital
qstr_A_hospital_increases|A hospital increases income by 5, prosperity by 10 and relations by 5.
qstr_University|University
qstr_A_University_increas|A University increases income by 10, prosperity by 10 and relations by 5.
qstr_Thieves_Guild|Thieves Guild
qstr_The_Thieves_Guild_br|The Thieves Guild brings the Red Brotherhood into your town, increasing direct income by 20 and prosperity by 15. It also reduces town relations by 10.
qstr_Training_Grounds|Training Grounds
qstr_Training_grounds_inc|Training grounds increase the direct income of a location by 3, allows additional training of garrison troops and hiring noble recruits.
qstr_Church|Church
qstr_A_Church_increases_i|A Church increases income by 5, prosperity by 10 and relations by 5. It will also attract pious nobles to your cause.
qstr_Cathedral|Cathedral
qstr_A_Cathedral_increase|A Cathedral increases income by 20, prosperity by 20 and relations by 10.
qstr_Monastery|Monastery
qstr_A_Monastery_increase|A Monastery increases income by 5, prosperity by 5 and relations by 5.
qstr_Chapel|Chapel
qstr_A_Chapel_increases_i|A Chapel increases income by 5.
qstr_Crop_Rotation|Crop Rotation
qstr_Crop_Rotation_increa|Crop Rotation increases income by 20 and prosperity by 5.
qstr_Court_System|Court System
qstr_A_court_system_incre|A court system increases income by 5, prosperity by 10% and relations by 5.
qstr_Warehouse|Warehouse
qstr_A_warehouse_increase|A warehouse increases income by 5 and prosperity by 5.
qstr_Organized_Guilds|Organized Guilds
qstr_Organized_Guilds_inc|Organized Guilds increase base income by 50 and prosperity by 25.
qstr_Lamplighters|Lamplighters
qstr_Lamplighters_increas|Lamplighters increase prosperity by 2 and relations by 2.
qstr_Well_Cleaners|Well Cleaners
qstr_Well_Cleaners_increa|Well Cleaners increase income by 2, prosperity by 2 and relations by 2.
qstr_Street_Sweepers|Street Sweepers
qstr_Street_sweepers_incr|Street sweepers increase prosperity by 3 and relations by 3.
qstr_Building_Inspectors|Building Inspectors
qstr_Building_Inspectors_|Building Inspectors increase base income by 2, prosperity by 3 and relations by 1.
