str_no_string|NO STRING!
str_npc_adonja_intro_response_1|Yes, I do. You have the look of a fighter who might be looking for work.
str_npc_leslie_intro_response_1|Perhaps. Are you a military quartermaster or a trader looking to change jobs?
str_npc_ansen_intro_response_1|Hello. You look a trifle elevated in station to be hanging about in here.
str_npc_riva_intro_response_1|Never heard of you. What did you say your name was?
str_npc_kassim_intro_response_1|Thanks. With whom do I have the pleasure of taking tea? What has brought you here?
str_npc_lethaldiran_intro_response_1|I could be. What's your story?
str_npc_jocelyn_intro_response_1|I am curious why a knight of your obvious standing is seeking work in a tavern, Sir.
str_npc_alistair_intro_response_1|The Heretics must have been at work again! Bastards!
str_npc_rayne_intro_response_1|My thanks, I'd be delighted. What is the origin of that falcon emblem on your shield?
str_npc_julia_intro_response_1|Well met, Julia. What made you move away from Janos?
str_npc_frederick_intro_response_1|They are endemic, sir. War would appear to be Pendor's national sport.
str_npc_ediz_intro_response_1|You are far from Singalian lands. What brings you to Pendor?
str_npc_sara_intro_response_1|Hello there, Sara. How did you get your foxy nickname?
str_npc_donavan_intro_response_1|I always speak to travelers in taverns - I like to hear the news.
str_npc_diev_intro_response_1|Why are you so rude and antisocial?
str_npc_alyssa_intro_response_1_|You speak like a damned snake priestess - I trust you are not one?
str_npc_roland_intro_response_1|I am honored to make yours, Sir Knight. May I know your name?
str_npc_kaverra_intro_response_1|I'm curious about that interesting weapon of yours. I've never seen anything like it.
str_npc_sigismund_intro_response_1|Drinking alone is no fun. Why are you drunk at this time of day, instead of with your troop?
str_npc_boadice_intro_response_1|Hello, good lady. Where do you hail from?
str_npc_adonja_intro_response_2|You mistake, madam; I don't wish to speak with you at all.
str_npc_leslie_intro_response_2|No, sorry, I don't need a merchant in my company
str_npc_ansen_intro_response_2|I'm sorry, I need fighters, not bookish dilettantes.
str_npc_riva_intro_response_2|No thanks, I dislike wolves and you look like a bandit to me.
str_npc_kassim_intro_response_2|I regret that I cannot linger just now.
str_npc_lethaldiran_intro_response_2|Bugger off, Noldor lad, I'm busy.
str_npc_jocelyn_intro_response_2|I always stare at knights with churlish manners. Good day.
str_npc_alistair_intro_response_2|And what do you know about the girl's death? Answer me! You've a sneaky look about you.
str_npc_rayne_intro_response_2|Thank you Sir Knight, but I must decline.
str_npc_julia_intro_response_2|A pleasure to have met you, but I'm too busy to talk just now.
str_npc_frederick_intro_response_2|I know only what everyone else knows. Pendor suffers under constant warmongering.
str_npc_ediz_intro_response_2|I'd stop to chat, but I have another appointment.
str_npc_sara_intro_response_2|You've a catchy name, Sara, but I've no time to talk.
str_npc_donavan_intro_response_2|Nothing at all. My apologies.
str_npc_diev_intro_response_2|I don't offer my company to surly clods, so we're even. Good day.
str_npc_alyssa_intro_response_2|Take your hisses elsewhere; I've no liking for them or your filthy Cult.
str_npc_roland_intro_response_2|I am honored to meet you, Sir Knight, but I must rejoin my troop.
str_npc_kaverra_intro_response_2|Interesting weapon, that, but I've no time to chat just now. Goodbye.
str_npc_sigismund_intro_response_2|Not much of a conversationalist, are you? I'll leave you to your solitary drinking.
str_npc_boadice_intro_response_2|Nice to have met you and good luck finding a captain who'll sign you on.
str_npc_adonja_backstory_a|I am Adonja of the Rocktops, from the finest raiding clan in the Mystmountains, the Catsclaws.  Our Clan is greatly favored by Vejovis, or so I once thought.  My father is a great clan Chief who trained me well to fight and raid.
str_npc_leslie_backstory_a|I am primarily a trader, and my name is Leslie. A sad turn of events has stranded me here, with barely a denar to my name and no way of returning home.
str_npc_ansen_backstory_a|I have no station, and I shall tell you why! My name is Ansen, by the way, a pleasure to meet you.
str_npc_riva_backstory_a|Really? Well, perhaps your ignorance can be forgiven. You don't look like a Pendorian, so I take it you are a stranger in these lands?
str_npc_kassim_backstory_a|I am Kassim, son of Jamshid, grandson of Bahman, great-grandson of Ikram, a Pamiri D'Shar of the high passes. Were you of Pendor, you'd know why I am so far from home.
str_npc_lethaldiran_backstory_a|Allow me to present myself: I am Lethaldiran, once of the House of Ithilrandir, but now, alas, an exile. It may seem unusual to you to find a Noldor seeking work in a tavern, but I am unfortunately now adrift in the human world.
str_npc_jocelyn_backstory_a|I am Sir Jocelyn from the Order of Eventide, {reg63?Sir:Madam}. The Order of the Dawn put to the stake one of our most venerable brothers, then took to burning peasants and nobility, setting villages afire and other atrocities. I came to Pendor with the Order of Eventide. I did not realize then that they are Heretics and followers of the evil goddess Erida Occisor. If my Order locates me, I will be killed gruesomely for my defection.
str_npc_alistair_backstory_a|I simply stumbled upon the poor girl and quickly ascertained that she was beyond any help I could give. I am the younger son of a high Lord in Barclay, Ferenc the Noxious, come to Pendor like many other knights to make my name and fortune. I was dodging a party of those sanctimonious Twits of the Dawn, when I tripped over the girl. You don't happen to know if they're headed in this direction, do you? If so, I must depart immediately, and I'd advise you to do the same. They are deadly enemies to my Order, and will likely attack you as well - they take rather unreasonable dislikes very quickly.
str_npc_rayne_backstory_a|This shield? It is my birthright, my good {reg63?sir:lady}. I am Sir Rayne, the last Knight of the Falcon, sole remainder of a gallant Order outlawed ten years ago by the King of Ravenstern himself. My fellows hung up their armor, or were hunted down and slain. The one exception was my mentor, Sir Leodred.
str_npc_julia_backstory_a|It's a long story, {reg63?lord:madam} Captain, but if you'll get yourself a drink and one for me, too, while you're at it, I'll be glad to tell you the tale.
str_npc_frederick_backstory_a|I am Hauptmann Frederick von Mettenheim, and I am a Great Swordsman of the Forlorn Hope Regiment of the Isle of Mettenheim. Mettenheim was invaded by Barclay, while we were in the grip of a great famine. I accompanied the Count of Mettenheim, my General, to Pendor to secure trade agreements for food, and perhaps make an agreement for the lease of arable land. We have much to offer in trade, since our specialty is smelting and the casting of all things metal. Unfortunately, we were first shipwrecked, then those not drowned were massacred by a large band of Snake Cultists.
str_npc_ediz_backstory_a|I am Ediz, a Singalian, as you have surmised. We are a simple people and our code is equally simple: We fight to the death in battle and never retreat. We do not desert our Lords unless they prove themselves unworthy by cowardly flight from battle. This was the case with the lord whom I served. I have come to Pendor to regain through battle the honor I lost with my lord, who fled like a cur and disgraced us all.
str_npc_sara_backstory_a|If it is a tale you desire, then a tale I assuredly shall tell. I am called 'the Fox' because my words and allure enchant my would-be suitors, leaving them in hot pursuit of a fox they can never catch. With my pursuit of pleasure, my keen wits and my eloquent songs and poetry, I enrapture every man I encounter. When cornered, I fight; when chased, I go to ground. With my rapier I fence moonlight, on my steed, I race the dawn.
str_npc_donavan_backstory_a|Very well, as you wish. I would welcome the company. My name is Donavan and I come from across your Western Sea, though we call it another name in my homeland.
str_npc_diev_backstory_a|You'd not be very sociable yourself, if you'd lived my life. I am called Diev. My parents were killed by Mystmountain Raiders when I was only a babe. Members of a passing caravan heard me crying in my dead mother's arms and rescued me. The Caravan Master adopted me, as he and his wife were childless. I grew up in Rane, but I disappointed my adopted father because I had no aptitude for trade, and less taste for it.
str_npc_alyssa_backstory_a|You correctly identify my acssent; I am Alyssa, a former SSerpent Cult Priestess, but the operative word iss 'former.'  They tell me I wass taken in the Empire as a baby, but my only memories are of the Cult. I have forssaken the SSnake Cult and sshall never rejoin them. If you have fought my Cult, you know how sskilled at arms we Priestesses are. I am in deadly danger from my Cult, and musst join a sstrong commander - there is ssafety in numberss for me.
str_npc_roland_backstory_a|I am Sir Roland, {reg63?Sir:Madam}, sole Paladin of the Dawn. My Order's original mission was to eradicate injustice and lawlessness, that the Goddess Astraea might dwell upon the earth once more. My fellow Order members have forgotten their principles and I have abandoned them to escape their misguided cruelties, though I still follow the Goddess Astraea's injunctions to us.
str_npc_kaverra_backstory_a|Well, {reg63?Sir:Madam}, I call it a 'Man-Opener', and it lives up to its name, same's I live up to mine, 'Kaverra the Castrator.'  Had it made to order by the Javiksholm weapons maker.
str_npc_sigismund_backstory_a|Alright, alright, if you're buying, I'll talk while I drink. You look to be a commander yourself, so you might understand my story. My name is Sigismund and I come from Vezin, had a small farm there. Don't know why I bothered farming as long as I did. We'd raise our crops and foreign armies would burn them. We'd buy cattle and the damned Vanskerries, Mystmountains or bandits would steal them. Nobody in our village would lift a finger in defense of what was ours, except for a woman named Claire, who decided it was time to fight back.
