str_no_string|STRING 없습니다!
str_retirement_text_4|당신은 마침내 자신이 전쟁에 질렸다는 것을 깨닫고 {s7} 마을로 은퇴합니다. 고마운 마을 사람들은 당신을 자신의 것으로 받아들이고, 당신은 당신의 생활 훈련을 마을 민병대로 만들고 약간의 농업을합니다. 당신은 {reg63? lass : lad} 마을과 결혼하고 당신이 싸운 전투와 당신이 정복 한 적들에 대해 당신의 이야기에 지치지 않는 건전한 농민 아이들의 무리를 키 웁니다. 당신은 군인이되고 싶은 장남에게 화를냅니다. 당신은 {s7}에서 찾은 평화와 가족에 만족하는 존경받는 마을 장로의 일을 마칩니다.
str_retirement_text_5|한때 방대한 양의 디나르가 빠르게 증발하는 것처럼 보였지만 {s9}에서 선술집을 구입할 수있는 전리품이 남아 있습니다. 당신은 당신이이 선술집에했던 손해에 대해 이전 여관 주인에게 미화 금액을 지불했듯이, 당신은이 같은 여관을 두 번 구입했다는 것을 기억하기 위해 웃습니다. {s9} 수비대 사람들은 당신의 선술집을 애용하고 압도적 인 승률에 대한 승리의 전투 이야기를 듣고 소금 알갱이를 가지고 있습니다. 수익이 증가하고 연회장과 웨딩 홀을 포함하도록 구내를 확장합니다. 당신의 여관은 펜 도르 전역에 걸쳐 유명하며, 이제 당신은 {s13}보다 더 성공적인 호스트입니다.
str_retirement_text_6|펜 도르의 길이와 폭에 맞서 싸웠을 때, {s13}으로서 당신은 도시와 마을 사이에서 거래했고, 당신은 사업을 위해 좋은 머리를 가지고 있음을 발견했습니다. 많은 적과 싸우고 {s15} 한 번의 캐러밴을 호위한 {s9}의 상인과 이익을 투자했습니다. 이제 {s9}에 여러 창고가 있으며 캐러밴은 펜 도르를 횡단하고 선박은 바클레이 (Barclay)를 오가는 무거운화물을 운반합니다. 당신은 상인의 {reg63? daughter : son}와 결혼하여 자녀들을 작은 상인으로 훈련시킵니다. 때때로 포도주를 마시는 동안, 당신은 고객을 숭배하고 군인으로서 당신의 시절 이야기를 들려 주지만 기억은 사라집니다. 당신의 상인 왕조의 성공은 오랫동안 {s13}으로서 당신의 명성보다 오래 지속될 것입니다.
str_retirement_text_7|당신은 무모한 모험가 펜 도르에 왔지만, 당신의 전투 성공은 당신을 부자로 만들었습니다. 귀하는 {s9}의 도시를 소유하고 있으며 유능한 관리자이며 입증 된 전문가로서 귀하의 자녀를 조심스럽게 감시합니다. 투자를 장려하기 위해 세금을 낮게 유지하기 때문에 귀하의 자산은 번영하고 좋은 소득을 지불합니다. 귀하의 개선 사항은 성과를 거두었으며 Pendor에서 인기있는 {reg63? lord : lady}입니다. 전투를 위해 타야 할 때, 무기 충돌로 피가 섞여 젊음을 다시 느끼게됩니다. 그럼에도 불구하고, 당신은 전투를 위해 싸우고 전쟁과의 전쟁을 무역 분쟁으로 판결하는 것을 선호합니다. 당신은 전반적으로 당신의 많은 것에 만족하며 은퇴를 후회하지 않습니다.
str_retirement_text_8|한때 Madigan이 구세주 께서 예언하신대로 환영을 받았지만, 배너 아래에있는 모든 펜 도르를 통일하지 못했습니다. 당신은 한 번의 전쟁으로 펜 도어를 찢은 많은 침략군과 싸워서 훌륭한 펜 도리아 영웅으로 존경받습니다. 평화는 펜 도르에게 퍼져 있으며, 당신은 그것을 가혹하게하는 사람들을 대합니다. 당신은 당신의 속담과 이웃 왕들과 좋은 관계를 유지하기 위해 조심하고 앞으로 펜 도르에 대한 위협에 경계합니다. 관리의 맛이 없어서, 당신은 {s8}을 (를) 유지하고 나머지는 당신의 충실한 동료들과 허위에게 수여했습니다. 때때로 당신은 모두 함께 모여서 당신의 영광스러운 행동을 상기시키는 옛 이야기를하지만, 여러분 모두는 펜 도르에서 초기의 지속적인 전쟁보다 평화가 바람직하다는 데 동의합니다.
str_retirement_text_9|한때 Madigan이 구세주 께서 예언하신대로 환영을 받았지만, 한 번의 배너 아래 모든 Pendor를 하나로 묶지 못했습니다. 당신은 거대한 침략군과 싸워 이겼습니다. {s15}, 모든 펜 도르의 {reg63? king : queen}은되지 않았습니다. 당신의 재산은 광대하고 당신은 당신의 거친 꿈을 넘어 부유합니다. 한 번 당신에게 재채기를 한 군주들은 이제 당신이 그들을 능가하고 모욕을 효과적으로 그리고 치명적으로 다루는 명성을 가지기 때문에 당신의 호의를 베풀고 있습니다. 당신은 확고한 손으로 자신의 소유물을 다스리고 단지 손으로 사귀는 날을 군인으로 생각하지 않습니다.
str_retirement_text_10|모든 펜 도어는 당신의 손 아래에 있으며 구세주 매디 건이 예언 한대로 땅을 하나로 묶을 것입니다. 당신은 모든 침략군을 물리 치고 다양하고 힘이 굶주린 군주들을 물리 치고 펜 도르의 소위 왕을 낮추었습니다. 당신의 가장 작은 소원은 명령이며 당신의 말은 온 땅에 걸쳐 절대 법입니다. 운 좋게도 당신은 공평하고 공정하며 자신의 입장을 남용하지 않습니다. 당신은 항상 당신의 겸손한 시작을 기억하지만, 이제는 가능한 모든 럭셔리가 당신의 요구에 달려 있습니다. 당신은 충성심을 보상하고 신속하게 잘못을 처벌하고 사람들은 당신을 사랑합니다. 아직도, 당신은 보좌를 얼마나 빨리 잃어 버릴 수 있는지 알고, 당신의 경계를 이완하지 마십시오. 때로는 성 꼭대기에 서서 남쪽을 바라 보면서 펜 도르 옆에 무엇이 올지 궁금해합니다.
str_loot_village|무고한 마을 사람들을 공격하다
str_steal_from_villagers|가난한 마을 사람들을 훔치다
str_rob_caravan|상인 캐러밴을 털다
str_sell_slavery|사람들을 노예로 팔다
str_men_hungry|음식이 부족하다
str_men_unpaid|남자들에게 돈을 지불 할 수 없다
str_excessive_casualties|모든 전투를 우리 쪽의 혈통으로 바꾸십시오
str_surrender|적에게 항복하다
str_flee_battle|전투에서 도망 치다
str_cheat_in_battle|전투 속임수
str_pay_bandits|공동 도둑을 갚다
str_fail_quest|우리가 명예의 말씀에 착수 한 퀘스트를 실패하다
str_squander_money|신탁으로 우리에게주는 돈
str_murder_merchant|냉혈한 살인에 연루되다
str_round_up_serfs|귀족을 대신하여 종을 모으다
str_battle_fate_1|우리는 전투의 열기 속에서 분리되었다
str_battle_fate_2|나는 상처를 입고 죽었다
str_battle_fate_3|나는 적에게 무의미하게 쓰러졌다
str_battle_fate_4|나는 몸값을 받고 붙 잡혔다
str_battle_fate_5|나는 붙잡 혔지만 나중에 탈출했다
str_npc_morale_report|저는 {s6} 당신의 동반자 선택, {s7} 당신의 리더십 스타일, 그리고 {s8} 일반적인 상황
str_happy|~에 대한 행복
str_content|내용
str_concerned|걱정
str_not_happy|전혀 행복하지 않다
str_miserable|에 끔찍한
str_morale_reg1|사기 : {reg1}
str_bar_enthusiastic|열정적 인
str_bar_content|함유량
str_bar_weary|피곤한
str_bar_disgruntled|불만족
str_bar_miserable|딱한
str_here_plus_space|여기
str_npc_adonja_intro|예? 나와 대화하고 싶니? 나는 유휴 잡담을 좋아하지 않는다.
str_npc_leslie_intro|안녕하세요, {reg63? Sir : Madam}. 공급품 유통 및 조달의 모든 측면에서 숙련 된 전문가가 필요하십니까?
str_npc_ansen_intro|좋은 하루야 내 {reg63? Lord : Lady}.
str_npc_riva_intro|안녕하세요, {reg63? 선생님 : 부인}. 나는 Laria의 Riva Blackwolf입니다. 의심 할 여지없이 내 이름을 들었습니까?
str_npc_kassim_intro|안녕하세요, {reg63? Bahadur : Bibi} 혼자서 집에서 멀리 떨어진 사람과 차와 대화를 나누시겠습니까?
str_npc_lethaldiran_intro|인사말, 인간. Noldor의 서비스가 필요하십니까?
str_npc_jocelyn_intro|왜 {reg63? Sir : Madam} 나를 쳐다 봐? 기사를 한 번도 본 적이 없습니까? 이것이 동물원이라고 생각합니까?
str_npc_alistair_intro|신경을 안정시키기 위해 음료가 필요했습니다! 나는 도시 밖에서 죽은 소녀를 만났다. 그녀의 가슴은 가슴에서 찢어졌습니다.
str_npc_rayne_intro|내 좋은 {reg63? Sir : Lady}. 나랑 술 마실 래?
str_npc_julia_intro|{reg63? Lord : Lady} 선장님, 전 Janos 출신 인 Julia입니다.
str_npc_frederick_intro|우일, 사령관 펜 도르에서 어떤 전쟁이 있었습니까?
str_npc_ediz_intro|{reg63? lord : lady} 함장님, 안녕하세요.
str_npc_sara_intro|반장님 나는 사라 폭스라고합니다.
str_npc_donavan_intro|예? 무엇을 원하십니까, 낯선 사람? 선술집 험담에 대한 인내심이 거의 없습니다.
str_npc_diev_intro|회사를 원한다면 이미 갖고 있었을 것입니다. 즉, 회사는 당신을 전혀 보지 않을 것입니다.
str_npc_alyssa_intro|인사말 당신은 당신의 회사를 위해 숙련 된 ssoldiers를 찾고 있습니까?
str_npc_roland_intro|좋은 하루 되세요, {reg63? 선생님 : 부인} 캡틴. 이런 상황에서 당신의 지인을 기쁘게 생각합니다.
str_npc_kaverra_intro|무엇을 원하세요?
str_npc_sigismund_intro|도대체 나랑 뭘 원해? 화를 내고 한 남자가 자신의 슬픔을 평화롭게 익사하게합니다.
str_npc_boadice_intro|글쎄요, 마지막에는 잘 보이는 전사입니다. 나는 하나를 찾는 것에 상당히 절망했습니다. 나는 합류할만한 선장을 찾고 있었지만 다른 사람을 팔로우하지는 않을 것입니다!
str_npc_adonja_intro_response_1|네 저도 그렇습니다. 당신은 일을 찾고있을 전투기의 모양이 있습니다.
str_npc_leslie_intro_response_1|혹시. 당신은 직업을 바꾸고 자하는 군부대 장이나 상인입니까?
str_npc_ansen_intro_response_1|여보세요. 당신은 여기에 매달려있는 사소한 소총을 본다.
str_npc_riva_intro_response_1|당신에 대해 들어 본 적이 없습니다. 이름이 뭐라고 했어요?
str_npc_kassim_intro_response_1|감사. 누구와 함께 차를 마시는 즐거움이 있습니까? 무엇을 여기로 데려왔습니까?
str_npc_lethaldiran_intro_response_1|나는 할 수 있었다. 네 이야기는 뭐야?
str_npc_jocelyn_intro_response_1|왜 당신의 명백한 입장의 기사가 선술집에서 일자리를 찾고 있는지 궁금합니다.
str_npc_alistair_intro_response_1|이단자들은 다시 일하고 있었을 것입니다! 놈들 아!
str_npc_rayne_intro_response_1|감사합니다. 기뻐할 것입니다. 방패 위의 팔콘 엠블럼의 기원은 무엇입니까?
str_npc_julia_intro_response_1|잘 만났어요, 줄리아 왜 Janos에서 멀어 졌습니까?
str_npc_frederick_intro_response_1|그들은 풍토병입니다. 전쟁은 펜 도르의 국가 스포츠 인 것으로 보인다.
str_npc_ediz_intro_response_1|당신은 Singalian 땅에서 멀리 떨어져 있습니다. 무엇을 펜 도어로 가져 오나요?
str_npc_sara_intro_response_1|안녕하세요, 사라 여우 같은 별명을 어떻게 얻었습니까?
str_npc_donavan_intro_response_1|나는 항상 선술집에서 여행자와 이야기-나는 뉴스를 듣고 싶어요.
str_npc_diev_intro_response_1|왜 그렇게 무례하고 반 사회적입니까?
str_npc_alyssa_intro_response_1_|당신은 저주받은 뱀 여사 제처럼 말합니다-나는 당신이 하나가 아니라고 믿습니까?
str_npc_roland_intro_response_1|나이트 선생님, 당신을 만들게되어 영광입니다. 성함을 알 수 있을까요?
str_npc_kaverra_intro_response_1|나는 당신의 그 흥미로운 무기가 궁금합니다. 나는 그런 것을 본 적이 없다.
str_npc_sigismund_intro_response_1|혼자 마시는 것은 재미가 없습니다. 왜 당신은 군대가 아닌이 시간에 술에 취했습니까?
str_npc_boadice_intro_response_1|안녕, 아가씨 어디서 오셨어요?
str_npc_adonja_intro_response_2|당신은 실수합니다, 부인; 나는 당신과 전혀 대화하고 싶지 않습니다.
str_npc_leslie_intro_response_2|아니요, 죄송합니다. 회사에 판매자가 필요하지 않습니다
str_npc_ansen_intro_response_2|미안하다, 나는 전투기를 필요로한다.
str_npc_riva_intro_response_2|고마워, 나는 늑대를 싫어하고 당신은 나에게 산적처럼 보인다.
str_npc_kassim_intro_response_2|지금은 머무를 수없는 것이 유감입니다.
str_npc_lethaldiran_intro_response_2|Bugger 떨어져, Noldor 젊은이, 나는 바쁘다.
str_npc_jocelyn_intro_response_2|나는 항상 기사적인 태도로 기사를 응시합니다. 좋은 날.
str_npc_alistair_intro_response_2|그리고 소녀의 죽음에 대해 무엇을 알고 있습니까? 대답 해! 당신은 당신에 대해 교묘 한 표정을지었습니다.
str_npc_rayne_intro_response_2|나이트 선생님 감사하지만 거절해야합니다.
str_npc_julia_intro_response_2|만나서 반가워요, 지금 얘기 하기엔 너무 바빠요.
str_npc_frederick_intro_response_2|나는 다른 사람들이 아는 것만 알고 있습니다. 펜 도르 (Pendor)는 지속적으로 따뜻해집니다.
str_npc_ediz_intro_response_2|나는 채팅을 중단하지만 다른 약속이 있습니다.
str_npc_sara_intro_response_2|당신은 눈에 띄는 이름입니다, 사라, 대화 할 시간이 없어요
str_npc_donavan_intro_response_2|전혀 없습니다. 사과드립니다.
str_npc_diev_intro_response_2|나는 회사에 클로드를 제공하지 않기 때문에 우리도 마찬가지입니다. 좋은 날.
str_npc_alyssa_intro_response_2|다른 곳에서 히스를 가져 가십시오. 나는 그들이나 당신의 더러운 컬트를 좋아하지 않습니다.
str_npc_roland_intro_response_2|반갑습니다, 기사 님,하지만 저의 군대에 다시 합류해야합니다.
str_npc_kaverra_intro_response_2|재미있는 무기이지만, 지금 채팅 할 시간이 없습니다. 안녕.
str_npc_sigismund_intro_response_2|많은 대화 전문가가 아니십니까? 나는 당신을 독방 술에 맡길 것입니다.
str_npc_boadice_intro_response_2|만나서 반가워요. 서명 할 선장을 찾아서 행운을 빕니다.
str_npc_adonja_backstory_a|나는 Mystmountains, Catsclaws에서 가장 훌륭한 경주 일족으로부터 Rocktops의 Adonja입니다. 우리 클랜은 Vejovis에게 큰 호응을 얻었습니다. 나의 아버지는 위대한 씨족장이되어 싸우고 습격하도록 나를 잘 훈련시켰다.
str_npc_leslie_backstory_a|나는 주로 상인이며, 내 이름은 Leslie입니다. 슬픈 일이 일어 났는데 내 이름을 간신히 비난하고 집으로 돌아 오는 길은 없었습니다.
str_npc_ansen_backstory_a|나는 역이없고 그 이유를 말해 줄 것이다! 내 이름은 Ansen입니다. 반갑습니다.
